EnergyCarrier,Year,UnmetDemandValue
ELECTRICITY,2021,100
ELECTRICITY,2022,100
ELECTRICITY,2023,100
ELECTRICITY,2024,100
ELECTRICITY,2025,100
ELECTRICITY,2026,100
ELECTRICITY,2027,100
ELECTRICITY,2028,100
ELECTRICITY,2029,100
ELECTRICITY,2030,100
ELECTRICITY,2031,100
COKING_COAL,2021,500000
COKING_COAL,2022,500000
COKING_COAL,2023,500000
COKING_COAL,2024,500000
COKING_COAL,2025,500000
COKING_COAL,2026,500000
COKING_COAL,2027,500000
COKING_COAL,2028,500000
COKING_COAL,2029,500000
COKING_COAL,2030,500000
COKING_COAL,2031,500000
STEAM_COAL,2021,500000
STEAM_COAL,2022,500000
STEAM_COAL,2023,500000
STEAM_COAL,2024,500000
STEAM_COAL,2025,500000
STEAM_COAL,2026,500000
STEAM_COAL,2027,500000
STEAM_COAL,2028,500000
STEAM_COAL,2029,500000
STEAM_COAL,2030,500000
STEAM_COAL,2031,500000
NATGAS,2021,500000
NATGAS,2022,500000
NATGAS,2023,500000
NATGAS,2024,500000
NATGAS,2025,500000
NATGAS,2026,500000
NATGAS,2027,500000
NATGAS,2028,500000
NATGAS,2029,500000
NATGAS,2030,500000
NATGAS,2031,500000
BIOGAS,2021,500000
BIOGAS,2022,500000
BIOGAS,2023,500000
BIOGAS,2024,500000
BIOGAS,2025,500000
BIOGAS,2026,500000
BIOGAS,2027,500000
BIOGAS,2028,500000
BIOGAS,2029,500000
BIOGAS,2030,500000
BIOGAS,2031,500000
BIOMASS,2021,500000
BIOMASS,2022,500000
BIOMASS,2023,500000
BIOMASS,2024,500000
BIOMASS,2025,500000
BIOMASS,2026,500000
BIOMASS,2027,500000
BIOMASS,2028,500000
BIOMASS,2029,500000
BIOMASS,2030,500000
BIOMASS,2031,500000
CRUDE,2021,500000
CRUDE,2022,500000
CRUDE,2023,500000
CRUDE,2024,500000
CRUDE,2025,500000
CRUDE,2026,500000
CRUDE,2027,500000
CRUDE,2028,500000
CRUDE,2029,500000
CRUDE,2030,500000
CRUDE,2031,500000
MS,2021,500000
MS,2022,500000
MS,2023,500000
MS,2024,500000
MS,2025,500000
MS,2026,500000
MS,2027,500000
MS,2028,500000
MS,2029,500000
MS,2030,500000
MS,2031,500000
HSD,2021,500000
HSD,2022,500000
HSD,2023,500000
HSD,2024,500000
HSD,2025,500000
HSD,2026,500000
HSD,2027,500000
HSD,2028,500000
HSD,2029,500000
HSD,2030,500000
HSD,2031,500000
ATF,2021,500000
ATF,2022,500000
ATF,2023,500000
ATF,2024,500000
ATF,2025,500000
ATF,2026,500000
ATF,2027,500000
ATF,2028,500000
ATF,2029,500000
ATF,2030,500000
ATF,2031,500000
LPG,2021,500000
LPG,2022,500000
LPG,2023,500000
LPG,2024,500000
LPG,2025,500000
LPG,2026,500000
LPG,2027,500000
LPG,2028,500000
LPG,2029,500000
LPG,2030,500000
LPG,2031,500000
PP_OTHER,2021,500000
PP_OTHER,2022,500000
PP_OTHER,2023,500000
PP_OTHER,2024,500000
PP_OTHER,2025,500000
PP_OTHER,2026,500000
PP_OTHER,2027,500000
PP_OTHER,2028,500000
PP_OTHER,2029,500000
PP_OTHER,2030,500000
PP_OTHER,2031,500000
