EnergyCarrier,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,Year,TransitCost,TransitLoss,MaxTransit
COKING_COAL,INDIA,ER,INDIA,ER,2021,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2022,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2023,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2024,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2025,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2026,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2027,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2028,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2029,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2030,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,ER,2031,797.2,0.002,-1
COKING_COAL,INDIA,ER,INDIA,WR,2021,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2022,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2023,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2024,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2025,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2026,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2027,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2028,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2029,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2030,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,WR,2031,2399.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2021,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2022,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2023,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2024,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2025,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2026,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2027,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2028,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2029,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2030,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NR,2031,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2021,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2022,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2023,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2024,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2025,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2026,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2027,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2028,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2029,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2030,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,SR,2031,2776.7,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2021,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2022,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2023,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2024,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2025,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2026,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2027,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2028,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2029,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2030,2497.6,0.008,-1
COKING_COAL,INDIA,ER,INDIA,NER,2031,2497.6,0.008,-1
COKING_COAL,INDIA,WR,INDIA,ER,2021,2399.6,0.008,-1
COKING_COAL,INDIA,WR,INDIA,ER,2022,2399.6,0.008,-1
COKING_COAL,INDIA,WR,INDIA,ER,2023,2399.6,0.008,-1
COKING_COAL,INDIA,WR,INDIA,ER,2024,2399.6,0.008,-1
COKING_COAL,INDIA,WR,INDIA,ER,2025,2399.6,0.008,-1
