Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,95.80353450134128
2021,INDIA,ER,BR,RURAL,Q2,85.81095079968254
2021,INDIA,ER,BR,RURAL,Q3,71.30816455239413
2021,INDIA,ER,BR,RURAL,Q4,57.17355117887585
2021,INDIA,ER,BR,RURAL,Q5,38.40554018324012
2021,INDIA,ER,BR,URBAN,Q1,5.659193929948802
2021,INDIA,ER,BR,URBAN,Q2,1.8415602591132643
2021,INDIA,ER,BR,URBAN,Q3,0.7095908179706965
2021,INDIA,ER,BR,URBAN,Q4,0.2292051202020595
2021,INDIA,ER,BR,URBAN,Q5,0.0
2021,INDIA,ER,JH,RURAL,Q1,28.039104276263725
2021,INDIA,ER,JH,RURAL,Q2,32.886132177638984
2021,INDIA,ER,JH,RURAL,Q3,26.6032879686719
2021,INDIA,ER,JH,RURAL,Q4,22.862159640161774
2021,INDIA,ER,JH,RURAL,Q5,14.6461405169107
2021,INDIA,ER,JH,URBAN,Q1,7.984732944155777
2021,INDIA,ER,JH,URBAN,Q2,6.807131033451171
2021,INDIA,ER,JH,URBAN,Q3,3.0886082913434394
2021,INDIA,ER,JH,URBAN,Q4,1.6604490611025686
2021,INDIA,ER,JH,URBAN,Q5,0.6628593939483296
2021,INDIA,ER,OD,RURAL,Q1,40.620982129747674
2021,INDIA,ER,OD,RURAL,Q2,38.41384419032094
2021,INDIA,ER,OD,RURAL,Q3,34.80789310911373
2021,INDIA,ER,OD,RURAL,Q4,29.01161874677828
2021,INDIA,ER,OD,RURAL,Q5,18.651036877397846
2021,INDIA,ER,OD,URBAN,Q1,7.588599621954344
2021,INDIA,ER,OD,URBAN,Q2,4.4082429031629475
2021,INDIA,ER,OD,URBAN,Q3,1.4400364302641482
2021,INDIA,ER,OD,URBAN,Q4,0.3816549701264529
2021,INDIA,ER,OD,URBAN,Q5,0.0616169015120299
2021,INDIA,ER,WB,RURAL,Q1,66.94945346880833
2021,INDIA,ER,WB,RURAL,Q2,60.484401250589315
2021,INDIA,ER,WB,RURAL,Q3,54.54802682948552
2021,INDIA,ER,WB,RURAL,Q4,53.96900203415817
2021,INDIA,ER,WB,RURAL,Q5,35.07368215408693
2021,INDIA,ER,WB,URBAN,Q1,28.52621240054754
2021,INDIA,ER,WB,URBAN,Q2,14.024060389023
2021,INDIA,ER,WB,URBAN,Q3,5.713402263373756
2021,INDIA,ER,WB,URBAN,Q4,2.7397722612497963
2021,INDIA,ER,WB,URBAN,Q5,0.0
2021,INDIA,WR,CG,RURAL,Q1,21.565185786833453
2021,INDIA,WR,CG,RURAL,Q2,21.02771058130863
2021,INDIA,WR,CG,RURAL,Q3,15.14476058871595
2021,INDIA,WR,CG,RURAL,Q4,16.130787003069084
2021,INDIA,WR,CG,RURAL,Q5,12.799965640212587
2021,INDIA,WR,CG,URBAN,Q1,4.835232005365693
2021,INDIA,WR,CG,URBAN,Q2,2.0827335757642222
2021,INDIA,WR,CG,URBAN,Q3,1.1505018019623163
2021,INDIA,WR,CG,URBAN,Q4,0.45814869751491233
2021,INDIA,WR,CG,URBAN,Q5,0.0559922060747605
2021,INDIA,WR,GJ,RURAL,Q1,24.788556188354406
2021,INDIA,WR,GJ,RURAL,Q2,23.28242643784597
2021,INDIA,WR,GJ,RURAL,Q3,21.024341331106655
2021,INDIA,WR,GJ,RURAL,Q4,19.355422152271935
2021,INDIA,WR,GJ,RURAL,Q5,12.42917338049695
2021,INDIA,WR,GJ,URBAN,Q1,10.120981389649796
2021,INDIA,WR,GJ,URBAN,Q2,3.5204783273847835
2021,INDIA,WR,GJ,URBAN,Q3,1.2712622353283283
2021,INDIA,WR,GJ,URBAN,Q4,0.3503638164058361
2021,INDIA,WR,GJ,URBAN,Q5,0.07400100260236778
2021,INDIA,WR,MP,RURAL,Q1,52.37477983043816
2021,INDIA,WR,MP,RURAL,Q2,48.949965890742696
2021,INDIA,WR,MP,RURAL,Q3,50.45478417315422
2021,INDIA,WR,MP,RURAL,Q4,38.92330995384056
2021,INDIA,WR,MP,RURAL,Q5,28.895432113761817
2021,INDIA,WR,MP,URBAN,Q1,8.93093868480179
2021,INDIA,WR,MP,URBAN,Q2,5.187265321300887
2021,INDIA,WR,MP,URBAN,Q3,2.8951221883123623
2021,INDIA,WR,MP,URBAN,Q4,0.9753523773505229
2021,INDIA,WR,MP,URBAN,Q5,0.08213169381726755
2021,INDIA,WR,MH,RURAL,Q1,49.93281470190073
2021,INDIA,WR,MH,RURAL,Q2,35.59233978469978
2021,INDIA,WR,MH,RURAL,Q3,24.951579420935193
2021,INDIA,WR,MH,RURAL,Q4,22.228276925277424
2021,INDIA,WR,MH,RURAL,Q5,7.1263509171806225
2021,INDIA,WR,MH,URBAN,Q1,9.355013644504474
2021,INDIA,WR,MH,URBAN,Q2,2.001059019942828
2021,INDIA,WR,MH,URBAN,Q3,0.5387918321061981
2021,INDIA,WR,MH,URBAN,Q4,0.05180940710801325
2021,INDIA,WR,MH,URBAN,Q5,0.0
2021,INDIA,WR,GA,RURAL,Q1,0.17951020794153547
